FID1 IID1 FID2 IID2 HetHet IBS0 KINSHIP
0 3131165 0 5177688 0.044 0.0157 0.0464
0 3327010 0 5424122 0.045 0.0153 0.0523
0 5750030 0 5623644 0.046 0.0139 0.0679
0 3694168 0 5388807 0.044 0.0151 0.0499
0 3854063 0 3044578 0.08 0.0047 0.2645
0 5472279 0 4532160 0.046 0.0141 0.0642
0 5248641 0 6017378 0.04 0.0137 0.0483
0 3115395 0 3207390 0.044 0.0156 0.0481
0 2913464 0 5037339 0.082 0.0035 0.2804
0 5863238 0 4641440 0.042 0.0146 0.0451
0 5145475 0 4921721 0.048 0.0126 0.083
0 3087538 0 2244038 0.047 0.0133 0.0732
0 2595367 0 2176840 0.048 0.0132 0.079
0 3940470 0 5179444 0.074 0.0052 0.2352
0 5617685 0 5536767 0.044 0.0152 0.0454
0 5902700 0 2581025 0.047 0.0146 0.0624
0 3657863 0 4749052 0.075 0.0054 0.2399
0 3310911 0 2489023 0.046 0.0145 0.0627
0 4544083 0 4119389 0.04 0.0135 0.0494
0 1789110 0 4027031 0.04 0.0138 0.0466
0 4863670 0 5396254 0.044 0.015 0.0541
0 1063676 0 2811631 0.039 0.0135 0.0451
0 3508141 0 1653505 0.048 0.013 0.0782
0 1999212 0 3023497 0.045 0.0147 0.0524
0 5650472 0 4617408 0.046 0.0137 0.0684
0 5728064 0 5332985 0.044 0.0144 0.0565
0 3158386 0 4269229 0.133 0 0.4961
0 5521785 0 1541240 0.08 0.0048 0.2616
0 4845529 0 1119818 0.075 0.0052 0.2444
0 4973409 0 2212314 0.044 0.015 0.0544
0 2632912 0 5056609 0.056 0.0082 0.1459
0 2893026 0 5940110 0.073 0.006 0.2256
0 3102147 0 2241560 0.066 0 0.2488
0 1242598 0 5477001 0.045 0.0155 0.0528
0 2153935 0 1912561 0.046 0.014 0.0655
0 1772443 0 3257231 0.076 0.0061 0.2351
0 1659274 0 5514729 0.046 0.0136 0.069
0 3423627 0 4009683 0.047 0.0141 0.0673
0 3078916 0 4984314 0.068 1e-04 0.2497
0 1163266 0 5390117 0.054 0.009 0.1334
0 5392420 0 4268258 0.045 0.0148 0.0532
0 4325461 0 5951417 0.044 0.0156 0.049
0 5754626 0 5900708 0.045 0.0138 0.0637
0 1570728 0 1998719 0.044 0.0153 0.0478
0 3825538 0 4685289 0.048 0.0127 0.0816
0 2601746 0 4054575 0.046 0.0138 0.0655
0 5496599 0 1186027 0.047 0.013 0.0719
0 5685399 0 1741880 0.047 0.0137 0.0736
0 2994588 0 2990240 0.045 0.0148 0.0525
0 3450887 0 3631987 0.044 0.0154 0.0482
0 4470871 0 2632775 0.046 0.0137 0.066
0 5527335 0 3925339 0.045 0.0138 0.0634
0 3097821 0 4597083 0.046 0.0143 0.0598
0 2455740 0 4066602 0.075 0.0036 0.2541
0 2825480 0 2987784 0.052 0.0102 0.1143
0 1260993 0 5055689 0.072 0.0068 0.2139
0 1303928 0 3217480 0.075 0.0049 0.2401
0 2107892 0 5071661 0.048 0.0137 0.0747
0 4878008 0 2099750 0.055 0.009 0.1347
0 1822298 0 1816553 0.053 0.01 0.123
0 5621855 0 2764602 0.083 0.0048 0.2752
0 3496482 0 5990106 0.067 0 0.2492
0 5352187 0 1185135 0.053 0.0103 0.1169
0 3827860 0 1486083 0.044 0.0148 0.054
0 5951266 0 6015760 0.073 0.0049 0.2351
0 4265531 0 1456731 0.046 0.0136 0.0684
0 5055003 0 4493124 0.052 0.0099 0.1193
0 2662784 0 4001571 0.045 0.0144 0.0585
0 2937124 0 2789296 0.039 0.0136 0.0445
0 4173074 0 1889118 0.055 0.008 0.1455
0 5269447 0 5644293 0.054 0.0082 0.1378
0 3228773 0 3061165 0.054 0.0083 0.1386
0 1481455 0 2934427 0.046 0.0137 0.0696
0 2963274 0 3279080 0.047 0.0141 0.0692
0 1226101 0 2975312 0.073 0.0054 0.2312
0 2250348 0 2781804 0.08 0.0045 0.2612
0 4028610 0 4752743 0.047 0.0142 0.065
0 5375557 0 5287764 0.044 0.0156 0.0453
0 5593818 0 1157456 0.071 0.0064 0.2174
0 5537156 0 3744409 0.085 0.0039 0.2795
0 5779327 0 2841751 0.078 0.0033 0.2632
0 3473750 0 1291835 0.067 0 0.2504
0 1682921 0 2792584 0.047 0.0136 0.0715
0 5811601 0 3827056 0.048 0.0131 0.0813
0 2244123 0 4418202 0.047 0.0126 0.0811
0 3848970 0 2443046 0.078 0.0049 0.2526
0 4574436 0 2966193 0.046 0.0145 0.0608
0 1174591 0 3094000 0.046 0.014 0.0627
0 2778457 0 3437458 0.077 0.0044 0.2553
0 4975872 0 1572865 0.046 0.0151 0.0564
0 5934021 0 1261630 0.046 0.0143 0.0649
0 6007015 0 1249233 0.044 0.0158 0.0461
0 4533947 0 4337897 0.08 0.0047 0.2586
0 3577440 0 3844385 0.046 0.0148 0.0589
0 5381705 0 4602597 0.044 0.0156 0.048
0 4519630 0 1294649 0.047 0.0139 0.069
0 1996164 0 3439741 0.048 0.0121 0.0888
0 1553310 0 2040691 0.053 0.0091 0.1263
0 5861872 0 5614508 0.084 0.003 0.2926
0 3027205 0 1671325 0.046 0.0142 0.0621
0 4301618 0 4081220 0.08 0.0042 0.2639
0 5148344 0 2352656 0.045 0.0157 0.0475
0 3666380 0 1445376 0.066 0 0.2498
0 3507938 0 5422907 0.067 1e-04 0.2485
0 2821140 0 2931285 0.077 0.0046 0.2538
0 2237979 0 1109823 0.075 0.0046 0.2478
0 3414684 0 4211425 0.046 0.014 0.0619
0 2613628 0 3453203 0.075 0.0048 0.2417
0 2566001 0 5163516 0.045 0.0142 0.0511
0 5394017 0 4789180 0.076 0.0058 0.2409
0 5295921 0 5372377 0.046 0.0153 0.0546
0 2850753 0 1810332 0.044 0.0154 0.0493
0 3655391 0 4493960 0.045 0.0146 0.0588
0 4498914 0 3774636 0.046 0.0149 0.0575
0 5702681 0 4699665 0.08 0.0043 0.2666
0 1611872 0 1209125 0.046 0.0147 0.0597
0 2126853 0 5494762 0.045 0.0143 0.0605
0 5591934 0 1854061 0.045 0.0143 0.0598
0 2496171 0 3911931 0.046 0.0157 0.0524
0 5698641 0 4309187 0.047 0.0143 0.0682
0 4292574 0 3684988 0.044 0.0153 0.0478
0 5136547 0 5934146 0.045 0.0128 0.0782
0 1293906 0 3095011 0.045 0.0152 0.0543
0 3393106 0 5815023 0.076 0.0049 0.2495
0 1027981 0 4645435 0.045 0.0139 0.0609
0 5683485 0 1685586 0.079 0.0042 0.2625
0 5023340 0 3799004 0.051 0.0104 0.1102
0 1277471 0 1985893 0.047 0.0146 0.0648
0 2371855 0 5559406 0.048 0.0139 0.0735
0 1901364 0 2262406 0.076 0.0054 0.2437
0 5456687 0 4527404 0.081 0.0037 0.2729
0 4254691 0 5416678 0.077 0.0042 0.2538
0 1844063 0 5386305 0.076 0.0041 0.2541
0 2093511 0 3540888 0.047 0.0145 0.0627
0 5153450 0 3273498 0.048 0.013 0.0789
0 1834202 0 3654265 0.046 0.0144 0.0625
0 1039572 0 5067021 0.046 0.0146 0.0615
0 3029417 0 4431513 0.053 0.0095 0.1233
0 3342405 0 2257344 0.053 0.0098 0.1229
0 5306215 0 5241957 0.054 0.0096 0.129
0 5178498 0 5124224 0.071 0.0037 0.2415
0 2708008 0 4758864 0.052 0.0091 0.1253
0 3732108 0 2825018 0.045 0.0147 0.0567
0 2660450 0 5591945 0.047 0.013 0.0776
0 1690161 0 4587405 0.066 2e-04 0.2423
0 2310882 0 3153820 0.049 0.0129 0.0843
0 2291767 0 2568130 0.046 0.0143 0.0645
0 1536840 0 2853714 0.045 0.0151 0.0522
0 3106225 0 2203924 0.08 0.0044 0.267
0 2956059 0 5718912 0.045 0.0152 0.0513
0 1153317 0 1338335 0.046 0.0142 0.0654
0 3656615 0 5311287 0.047 0.0145 0.0637
0 1971142 0 3154091 0.047 0.0145 0.0647
0 5062998 0 5590608 0.066 0 0.2488
0 1936453 0 1270087 0.046 0.0141 0.0627
0 1981945 0 2638236 0.045 0.0144 0.0574
0 1556081 0 5999953 0.052 0.0084 0.1316
0 3421870 0 4556468 0.08 0.0038 0.2683
0 1882961 0 2824132 0.046 0.0147 0.0615
0 4544011 0 3199744 0.052 0.0106 0.1124
0 4483522 0 1256392 0.045 0.0143 0.0623
0 3060314 0 3711418 0.044 0.0143 0.0543
0 5169899 0 2684950 0.075 0.0056 0.2377
0 4452895 0 4469289 0.074 0.0049 0.2416
0 2469893 0 4317555 0.053 0.01 0.1217
0 5812501 0 2683031 0.047 0.0142 0.0687
0 1587642 0 2295695 0.045 0.0138 0.0626
0 3805746 0 3388086 0.066 0 0.2458
0 1705295 0 2279571 0.078 0.0056 0.2484
0 1535536 0 2405292 0.053 0.0086 0.1357
0 2397377 0 2164562 0.047 0.0138 0.0716
0 2892788 0 2519410 0.082 0.0035 0.2796
0 5643747 0 1453596 0.072 0.0059 0.2284
0 1838460 0 3736118 0.049 0.0126 0.0837
0 3929997 0 2849144 0.046 0.0129 0.0725
0 1788811 0 4218745 0.047 0.0132 0.0757
0 4262982 0 3043710 0.052 0.0095 0.124
0 4681859 0 1708895 0.046 0.0146 0.0574
0 2322134 0 3518139 0.08 0.0039 0.2715
0 2055285 0 2206539 0.046 0.0137 0.0686
0 3812553 0 5427044 0.046 0.0132 0.073
0 1267963 0 4531949 0.047 0.0128 0.0784
0 1660496 0 3855598 0.049 0.0134 0.0809
0 4095915 0 5234242 0.037 0.0115 0.0668
0 2573168 0 3708084 0.045 0.0155 0.05
0 1118139 0 4746426 0.078 0.0043 0.259
0 1979952 0 2784626 0.073 0.0041 0.2425
0 1834284 0 1516370 0.053 0.0087 0.134
0 2255384 0 1385659 0.044 0.0143 0.0576
0 2362168 0 4549851 0.071 0.0056 0.2221
0 4429039 0 3523927 0.046 0.0143 0.0653
0 2007588 0 3247599 0.045 0.0143 0.0575
0 3619459 0 4576684 0.046 0.0135 0.0724
0 1084797 0 2762694 0.045 0.0143 0.0616
0 1750854 0 2996783 0.044 0.015 0.053
0 5503644 0 1656768 0.047 0.0134 0.0702
0 4211631 0 1564195 0.047 0.0143 0.0667
0 1449269 0 3022011 0.073 0.0047 0.2367
0 3375014 0 1908866 0.052 0.0094 0.1241
0 5193695 0 3819391 0.046 0.0148 0.059
0 3637051 0 1366842 0.047 0.0152 0.0582
0 2937124 0 6017378 0.041 0.0139 0.0457
0 1880611 0 1568656 0.043 0.0146 0.0532
0 4251310 0 2678357 0.044 0.0153 0.0466
0 5639953 0 1820140 0.045 0.0135 0.0678
0 5583062 0 5523012 0.045 0.014 0.0624
0 3887203 0 1998159 0.047 0.0132 0.0758
0 2072009 0 1578223 0.084 0.0036 0.2876
0 2148166 0 3488735 0.047 0.0142 0.0687
0 3141174 0 4287929 0.045 0.0145 0.06
0 2063660 0 4998916 0.046 0.0133 0.0695
0 4681885 0 4668554 0.046 0.0153 0.0567
0 3626091 0 5761773 0.047 0.013 0.0778
0 5226754 0 4203786 0.044 0.0149 0.0481
0 2123495 0 5186543 0.045 0.015 0.0517
0 3506732 0 2029422 0.045 0.0143 0.0599
0 4150064 0 3177953 0.045 0.0154 0.0499
0 2283636 0 4486464 0.072 0.0038 0.2394
0 2233863 0 2223918 0.054 0.009 0.1325
0 1887797 0 4731175 0.047 0.0138 0.0677
0 4216299 0 5256014 0.047 0.014 0.0677
0 2153221 0 3804244 0.049 0.0114 0.0957
0 4395049 0 3687446 0.044 0.0152 0.0465
0 2786719 0 5593650 0.049 0.012 0.0915
0 1869223 0 2686447 0.053 0.0106 0.1162
0 4888721 0 5076015 0.045 0.014 0.0615
0 3693100 0 3072658 0.046 0.0139 0.0612
0 2881269 0 4642458 0.047 0.0131 0.0771
0 5303756 0 3681620 0.044 0.0147 0.0539
0 2007588 0 4868069 0.081 0.0044 0.2674
0 5458089 0 5618931 0.042 0.0147 0.0455
0 1658310 0 2620111 0.046 0.014 0.066
0 2932186 0 2730792 0.046 0.0146 0.061
0 4501718 0 2694388 0.053 0.0096 0.1267
0 2387353 0 1973202 0.047 0.0126 0.0777
0 2849037 0 2462544 0.044 0.015 0.0508
0 4162600 0 1211558 0.046 0.0138 0.0655
0 1477410 0 5580117 0.082 0.0047 0.2693
0 3706079 0 5798688 0.075 0.0049 0.2397
0 5255220 0 2201372 0.046 0.014 0.066
0 2620111 0 4888360 0.046 0.0132 0.0708
0 4290165 0 3829143 0.045 0.0139 0.0574
0 2853109 0 5769084 0.066 0 0.2465
0 5533266 0 2939864 0.069 1e-04 0.2533
0 2926874 0 2502225 0.033 0.012 0.0442
0 2148485 0 4466452 0.046 0.0148 0.0584
0 5953259 0 1004682 0.045 0.014 0.0631
0 1474196 0 2418381 0.044 0.0151 0.0477
0 5909463 0 5109477 0.074 0.0054 0.2379
0 2022451 0 5816901 0.047 0.0139 0.0675
0 1706043 0 5835153 0.078 0.0053 0.2502
0 4961965 0 2683741 0.045 0.0153 0.0524
0 2121592 0 1151158 0.047 0.0131 0.0759
0 1573550 0 5251646 0.048 0.0126 0.0824
0 3692211 0 3610364 0.047 0.0138 0.0708
0 4029786 0 5950082 0.044 0.0145 0.0541
0 2942309 0 3293505 0.071 0.0051 0.2275
0 5176260 0 3010384 0.048 0.0138 0.0737
0 2949429 0 2140050 0.08 0.004 0.2672
0 1706204 0 4138853 0.046 0.0136 0.0651
0 3977355 0 1691900 0.047 0.0136 0.0708
0 3355842 0 3224174 0.046 0.0138 0.0649
0 3410385 0 3294513 0.047 0.0139 0.068
0 1109823 0 1241698 0.044 0.0148 0.0537
0 2034778 0 2874795 0.048 0.0133 0.0752
0 2373754 0 5614171 0.045 0.0146 0.0593
0 4983641 0 1341708 0.045 0.0141 0.0626
0 3411899 0 4240849 0.047 0.0129 0.0814
0 3650811 0 1981043 0.053 0.0095 0.1246
0 5322304 0 4381392 0.073 0.0044 0.2411
0 1154598 0 4059182 0.045 0.0149 0.0562
0 5675990 0 4261526 0.047 0.0137 0.0709
0 4476022 0 5507166 0.045 0.015 0.0551
0 3231611 0 1891159 0.045 0.0139 0.0584
0 3744101 0 2455325 0.045 0.0146 0.0611
0 2899937 0 4027804 0.046 0.0139 0.0658
0 1701462 0 5823517 0.045 0.0151 0.0538
0 4178029 0 4513989 0.044 0.015 0.0517
0 1973615 0 5755333 0.047 0.0126 0.081
0 2457439 0 5860196 0.047 0.0138 0.0691
0 5694989 0 2137316 0.046 0.0148 0.0602
0 3272064 0 2787759 0.054 0.0086 0.1353
0 1976449 0 3623944 0.076 0.006 0.2407
0 4470363 0 5508230 0.047 0.0137 0.0669
0 5360577 0 1728379 0.048 0.0127 0.0772
0 1418978 0 1739877 0.046 0.0141 0.0606
0 1704942 0 5232108 0.045 0.0148 0.0556
0 5853707 0 1714428 0.045 0.0156 0.0444
0 2752273 0 1514339 0.046 0.0152 0.0546
0 5886861 0 5574168 0.067 1e-04 0.2488
0 5282551 0 5998682 0.054 0.0088 0.13
0 3177809 0 5790217 0.041 0.014 0.0466
0 1500322 0 3246876 0.084 0.0043 0.2796
0 1227962 0 1515255 0.045 0.0148 0.0553
0 5085041 0 3842810 0.079 0.0049 0.2567
0 3528193 0 5880792 0.077 0.0059 0.2393
0 1040238 0 3260888 0.045 0.0144 0.0523
0 1168793 0 3720181 0.067 1e-04 0.2477
